,code_prime,lon,lat,address,codes_ordered,gaps,distances,grand_date_b,grand_date_e,date_b_s,date_e_s,lats,lons,date_b_s_old,date_e_s_old,highest,highestplus1,duration,probability_not_occurr
2563,3110231,13942,3620,栃木市大平町富田,[3110231],[],[],2000-01-12,2023-12-31,['2000-01-12'],['2023-12-31'],[3620],[13942],,,5.0,6.0,7659.0,0.8203456455329781
2564,5111200,13534,3501,亀岡市安町,[5111200],[],[],1996-04-01,2023-12-31,['1996-04-01'],['2023-12-31'],[3501],[13534],,,5.0,6.0,9040.0,0.8203456455329782
2565,7410420,13041,3301,山鹿市老人福祉センター,[7410420],[],[],2007-03-01,2023-12-31,['2007-03-01'],['2023-12-31'],[3301],[13041],,,5.0,6.0,5054.0,0.8203456455329782
2566,3210635,13855,3630,渋川市伊香保町,"[3210635, 3210637]",[0],[0.0],1998-06-15,2023-12-31,"['1998-06-15', '2017-03-13']","['2017-03-13', '2023-12-31']","[3630, 3630]","[13855, 13855]",,,5.0,6.0,8235.0,0.8206633078041363
2567,3311430,13941,3549,戸田市上戸田,[3311430],[],[],1997-11-10,2023-12-31,['1997-11-10'],['2023-12-31'],[3549],[13941],,,5.0,6.0,8452.0,0.8206633078041363
2568,7321831,13015,3238,南島原市南有馬町,[7321831],[],[],2002-07-29,2023-12-31,['2002-07-29'],['2023-12-31'],[3238],[13015],,,4.0,5.0,6730.0,0.8206938125720843
2569,5600200,13420,3535,岩美町浦富,"[5600200, 5600201]",[188],[0.0],1996-04-01,2023-12-31,"['1996-04-01', '2010-02-25']","['2009-08-21', '2023-12-31']","[3535, 3535]","[13420, 13420]",,,4.0,5.0,8852.0,0.8206938125720844
2570,2510630,14049,3720,川内村上川内早渡,[2510630],[],[],2001-12-12,2023-12-31,['2001-12-12'],['2023-12-31'],[3720],[14049],,,6.0,7.0,6959.0,0.8207248757880518
2571,3603330,13923,3527,海老名市大谷,[3603330],[],[],2002-03-20,2023-12-31,['2002-03-20'],['2023-12-31'],[3527],[13923],,,5.0,6.0,6861.0,0.8207424518189864
2572,3314230,13944,3602,杉戸町清地,[3314230],[],[],1997-11-10,2023-12-31,['1997-11-10'],['2023-12-31'],[3602],[13944],,,5.0,6.0,8452.0,0.820812194976913
2573,4400500,13851,3436,南伊豆町石廊崎,"[4400500, 4400501, 4400502]","[0, 0]","[0.0, 0.0, 0.0]",1939-06-01,2023-12-31,"['1939-06-01', '2013-12-19', '2014-02-26']","['2013-12-19', '2014-02-26', '2023-12-31']","[3436, 3436, 3436]","[13851, 13851, 13851]",,,5.0,6.0,29799.0,0.8208741183668258
2574,3902131,13715,3721,能登町松波,"[3902131, 3902133, 3902135]","[0, 0]","[0.0, 0.0, 0.0]",1998-10-15,2023-12-31,"['1998-10-15', '2010-07-01', '2022-05-25']","['2010-07-01', '2022-05-25', '2023-12-31']","[3721, 3721, 3721]","[13715, 13715, 13715]",,,6.0,7.0,8113.0,0.8208871207599103
